,Treg,CD4_Memory,Other
TRBJ1-1,0.036165410489501476,0.04444060823682365,0.04612889523749915
TRBJ1-2,0.747430164314667,0.6155252619804821,0.6910445886416948
TRBJ1-3,0.005512520949147143,0.008606282494640535,0.00714158306096985
TRBJ1-4,0.005565901896833269,0.009758594806306557,0.00781954980559752
TRBJ1-5,0.01988652130465699,0.02519071936410127,0.025534448409308456
TRBJ1-6,0.0066315236042138025,0.012970095858509877,0.010133982057158356
TRBJ2-1,0.06117081364608274,0.06044865999906817,0.06910795042738889
TRBJ2-2,0.014371821541318578,0.027496946647115744,0.017388588312711988
TRBJ2-3,0.02710154345381631,0.06757316914161204,0.03562023827289523
TRBJ2-4,0.004047147360284902,0.005777817106537604,0.00515303004322038
TRBJ2-5,0.020359505552011957,0.05043455544910588,0.02636250926665189
TRBJ2-6,0.004165105939695628,0.007247112608249645,0.0057641829237729675
TRBJ2-7,0.047592019947770195,0.06453017630744691,0.052800453541130485
