,Treg,CD4_Memory,Other
TRBV1,1.2951839914774472e-05,1.7629256506712453e-05,1.525942444037354e-05
TRBV10-1,0.0006035315309819208,0.0006188555888005684,0.0006597761313117441
TRBV10-2,0.0014650709757801199,0.0015726670512286732,0.001315758959372774
TRBV10-3,0.004932048535022835,0.007651211799604807,0.005691248047634233
TRBV11-1,0.0004806706196408358,0.0008181577678797007,0.0007463324145780437
TRBV11-2,0.0033731069811688114,0.012938500567627716,0.004087198041207171
TRBV11-3,0.00159162376672308,0.004275209178569372,0.0025095287346600754
TRBV12-1,3.3287439033298877e-06,2.358199247001796e-05,5.776166313587724e-06
TRBV12-2,7.5411180064528e-05,0.00019174678343339844,9.353940970511464e-05
TRBV12-3,0.719091054400209,0.5811495855006921,0.6611215470056224
TRBV12-4,0.006550362775588977,0.010837986102422087,0.008033354170637781
TRBV12-5,0.013604636855525676,0.013652256504766367,0.012545057330174891
TRBV13,0.0010997564630437708,0.0010034939125833854,0.0006510687761226044
TRBV14,0.0004991905402666348,0.0009042434879644265,0.0006604658228118739
TRBV15,0.00450324579765752,0.004537472988029621,0.00558141467623855
TRBV16,7.250609447616737e-05,2.4497798002834188e-05,5.388214844764668e-05
TRBV18,0.0024307698434443323,0.0060089435278821,0.003927706881802136
TRBV19,0.0017148478137627098,0.0018322979197820748,0.0017419883064530382
TRBV2,0.004181447046130157,0.004915128294624714,0.004976813864937197
TRBV20-1,0.03352111685531264,0.04164179205284564,0.04782588117356871
TRBV21-1,0.000876670098904244,0.0008293763856566996,0.0008798739312906912
TRBV22-1,1.2104523284835956e-07,0.0,0.0
TRBV23-1,2.172761929628054e-05,4.567580094920954e-05,1.7414710378279407e-05
TRBV24-1,0.005303415309401601,0.0059578873694275955,0.0053007964471232065
TRBV25-1,0.002091601101003229,0.0018192476909394436,0.0033184506528749057
TRBV27,0.006219546154214411,0.007557112781107939,0.004381351466012563
TRBV28,0.006488932319918435,0.01182946006738726,0.006370766598137195
TRBV29-1,0.011970465689456398,0.01636681857972528,0.0168576120690495
TRBV3-1,0.003864066445601758,0.005320830145662305,0.005011901920006304
TRBV3-2,8.896824614354428e-06,1.3966034375447528e-05,1.948378487866904e-05
TRBV30,0.0016922123552200665,0.002224606114902228,0.0024846998406554
TRBV4-1,0.014299981195623077,0.016970448901542777,0.012729549806459633
TRBV4-2,0.0059088835641090956,0.009140426071655602,0.007023904448760189
TRBV4-3,0.0022901758054909628,0.007319232293958923,0.00389968816460936
TRBV5-1,0.035169087177926626,0.05790306404491385,0.04999746107316515
TRBV5-2,1.1499297120594157e-06,2.747416598448694e-06,1.7242287503246938e-06
TRBV5-3,3.9158132826444315e-05,3.6632221312649255e-05,4.6985233446347903e-05
TRBV5-4,0.0015912606310245346,0.0030386427578842556,0.0018736331715403286
TRBV5-5,0.0026957983807658157,0.005502159641159918,0.00364760592131189
TRBV5-6,0.004111543424160229,0.02726914002082771,0.004425922779208457
TRBV5-7,1.4767518407499866e-05,3.28545234897823e-05,1.91389391286041e-05
TRBV5-8,0.0001658319690022526,0.00030771065902625375,0.0002771697716146945
TRBV6-1,0.009137220446791269,0.010874274896659932,0.009978973892504165
TRBV6-2,0.0050449837372703536,0.010128465765872712,0.006478703317907521
TRBV6-3,9.562573395020405e-06,4.579027664081157e-07,4.138149000779265e-06
TRBV6-4,0.0007663978917793885,0.0005566952882606666,0.0007011576213195367
TRBV6-5,0.01984276345298231,0.019719124732599094,0.022247895988314555
TRBV6-6,0.005105687921543806,0.006173101669639409,0.006473530631656546
TRBV6-7,5.8101711767212584e-05,5.849707840863678e-05,5.396835988516292e-05
TRBV6-8,3.1834896239118565e-05,2.117800294637535e-05,2.0001053503766447e-05
TRBV6-9,2.4088001336823553e-05,5.9069456866646924e-05,1.577669306547095e-05
TRBV7-1,1.2104523284835956e-07,6.754065804519707e-06,2.9311888755519796e-06
TRBV7-2,0.013335432257670924,0.027316990859917355,0.019609136308817644
TRBV7-3,0.0063726078511511615,0.010145064741155008,0.008520448792604506
TRBV7-4,3.7887157881536544e-05,3.388480471420056e-05,4.6036907633669324e-05
TRBV7-5,3.6918796018749666e-06,2.1750381404385495e-05,5.1726862509740815e-06
TRBV7-6,0.003992253347188171,0.004166228320164241,0.0045374803793544645
TRBV7-7,0.0008779410738491519,0.001630706226870902,0.0011316975402756127
TRBV7-8,0.004213645078067821,0.0060395085375398415,0.004852238337726237
TRBV7-9,0.015040656975422189,0.016696623047230724,0.013281044372250988
TRBV9,0.011473151350298912,0.012248326622959084,0.01121093533461116
