,coef,p
Group Var,,0.0007962389800649382
Intercept,4.957242902969784,5.189646152156853e-51
compartment[T.Lymph node],0.5903429658738439,0.14772344444665025
compartment[T.Tumor],0.6154745488061205,0.13123579516546502
subset[T.Other],0.6192533151309866,0.0030873400442161794
subset[T.Other]:compartment[T.Lymph node],-0.7269777934602161,0.1722629033833124
subset[T.Other]:compartment[T.Tumor],-0.6456520475898667,0.17989274091112217
subset[T.Treg],0.5468119719848387,0.00992170587231579
subset[T.Treg]:compartment[T.Lymph node],-0.57695808630664,0.2796682645412121
subset[T.Treg]:compartment[T.Tumor],-0.847903081380496,0.06278840697466292
