patient_id,subset,alpha
Patient31,Treg,1.6008752456849722
Patient30,Treg,2.017923544975618
Patient29,Treg,1.6865024757670497
Patient28,Treg,1.8411346971476656
Patient27,Treg,1.9852468539468342
Patient26,Treg,1.5088222399802995
Patient21,Treg,1.4172951279115025
Patient19,Treg,1.5245096680606305
Patient18,Treg,1.2810324383841696
Patient16,Treg,1.6043079223585885
Patient15,Treg,1.620222863382487
Patient14,Treg,1.5711193033425035
Patient12,Treg,1.3757618041295934
Patient9,Treg,1.3838594429070339
Patient8,Treg,1.4326019984956704
Patient6,Treg,1.4428212671127425
Patient5,Treg,1.46368663620772
Patient4,Treg,1.3869050416043707
Patient67,Treg,2.644270402740826
Patient69,Treg,2.596095291701844
Patient71,Treg,2.7525133435105325
Patient3,Treg,1.5033235319101306
Patient2,Treg,1.7076402164144284
Patient1,Treg,2.0406824979708973
Patient17,Treg,1.3232939746465011
Patient10,Treg,1.3624408962416978
Patient13,Treg,1.295221094431459
Patient62,Treg,2.032915769214768
Patient35,Treg,1.4791496457660087
Patient34,Treg,1.9334857402741172
Patient33,Treg,1.439564325439152
Patient32,Treg,1.6742693616070745
Patient14,CD4_Memory,1.3697586672502586
Patient12,CD4_Memory,1.3433291557419915
Patient10,CD4_Memory,1.391305599039916
Patient8,CD4_Memory,2.137740678014713
Patient6,CD4_Memory,1.391263923371681
Patient5,CD4_Memory,1.4069907609949577
Patient4,CD4_Memory,1.4185958488227064
Patient3,CD4_Memory,1.355164950970289
Patient67,CD4_Memory,2.718287068924433
Patient69,CD4_Memory,2.4480607831305923
Patient71,CD4_Memory,2.413887631251621
Patient62,CD4_Memory,1.6939497568727053
Patient64,CD4_Memory,2.9637487175160073
Patient35,CD4_Memory,1.4037553690015716
Patient34,CD4_Memory,1.339496492157299
Patient30,CD4_Memory,1.3903760748772847
Patient29,CD4_Memory,1.5209444717011822
Patient28,CD4_Memory,1.6496638736587388
Patient27,CD4_Memory,1.3148191869020918
Patient26,CD4_Memory,1.303772645523458
Patient21,CD4_Memory,1.4742827097121904
Patient19,CD4_Memory,1.400761000489356
Patient18,CD4_Memory,1.3117154002648577
Patient17,CD4_Memory,2.1116794209758654
Patient16,CD4_Memory,1.3840504949313144
Patient15,CD4_Memory,1.543735670064362
Patient67,Other,2.3835277153673964
Patient69,Other,2.675471066448814
Patient71,Other,2.8673640103389784
Patient2,Other,1.732056023233341
Patient1,Other,1.7534920032059276
Patient30,Other,2.094254355837994
Patient29,Other,1.6352784888753447
Patient28,Other,2.0351491331539537
Patient27,Other,1.5227655446725834
Patient26,Other,1.5751795121232814
Patient21,Other,1.8211030872909557
Patient12,Other,1.3584476795694538
Patient13,Other,1.3430637384045692
Patient14,Other,1.3422277715684716
Patient15,Other,1.3392182491231948
Patient16,Other,1.6622581632590099
Patient17,Other,1.8611950922339506
Patient18,Other,1.499058358528274
Patient19,Other,2.016520732349842
Patient9,Other,1.4191293454807117
Patient6,Other,1.4332251249645898
Patient5,Other,1.610806233228288
Patient4,Other,1.3766778489731104
Patient3,Other,1.5260353018043487
Patient62,Other,1.9453625130376904
Patient8,Other,1.7217680250728513
Patient33,Other,1.4655092563609462
Patient32,Other,1.8617095776427037
Patient31,Other,1.631814630091826
Patient35,Other,1.6004111172496933
Patient34,Other,2.2412783656701567
